UF,Ano/Semana,Casos prováveis de Dengue
Sao Paulo,2024/08 ,"55093"
Parana,2024/08 ,"24529"
Rio Grande Do Sul,2024/08 ,"5803"
Santa Catarina,2024/08 ,9661
Distrito Federal,2024/09 ,"21757"
Goias,2024/09 ,"17801"
Mato Grosso,2024/09 ,"1795"
Mato Grosso Do Sul,2024/09 ,"865"
Alagoas,2024/09 ,"559"
Bahia,2024/09 ,"13992"
Ceara,2024/09 ,"405"
Maranhao,2024/09 ,"760"
Paraiba,2024/09 ,"865"
Pernambuco,2024/09 ,"995"
Piaui,2024/09 ,"679"
Rio Grande Do Norte,2024/09 ,"924"
Sergipe,2024/09 ,"97"
Acre,2024/09 ,"123"
Amapa,2024/09 ,"670"
Amazonas,2024/09 ,"417"
Para,2024/09 ,"1217"
Rondonia,2024/09 ,"544"
Roraima,2024/09 ,"7"
Tocantins,2024/09 ,"210"
Espirito Santo,2024/09 ,"10626"
Minas Gerais,2024/09 ,"126397"
Rio De Janeiro,2024/09 ,"26603"
Sao Paulo,2024/09 ,"69459"
Parana,2024/09 ,"26562"
Rio Grande Do Sul,2024/09 ,"7244"
Santa Catarina,2024/09 ,12523
Distrito Federal,2024/10 ,"19022"
Goias,2024/10 ,"17399"
Mato Grosso,2024/10 ,"1551"
Mato Grosso Do Sul,2024/10 ,"1018"
Alagoas,2024/10 ,"511"
Bahia,2024/10 ,"15546"
Ceara,2024/10 ,"447"
Maranhao,2024/10 ,"826"
Paraiba,2024/10 ,"996"
Pernambuco,2024/10 ,"1159"
Piaui,2024/10 ,"819"
Rio Grande Do Norte,2024/10 ,"1176"
Sergipe,2024/10 ,"78"
Acre,2024/10 ,"121"
Amapa,2024/10 ,"568"
Amazonas,2024/10 ,"376"
Para,2024/10 ,"1146"
Rondonia,2024/10 ,"594"
Roraima,2024/10 ,"15"
Tocantins,2024/10 ,"226"
Espirito Santo,2024/10 ,"11199"
Minas Gerais,2024/10 ,"127009"
Rio De Janeiro,2024/10 ,"24456"
Sao Paulo,2024/10 ,"82760"
Parana,2024/10 ,"32683"
Rio Grande Do Sul,2024/10 ,"10074"
Santa Catarina,2024/10 ,14705
Distrito Federal,2024/11 ,"17135"
Goias,2024/11 ,"18424"
Mato Grosso,2024/11 ,"1670"
Mato Grosso Do Sul,2024/11 ,"1186"
Alagoas,2024/11 ,"522"
Bahia,2024/11 ,"17439"
Ceara,2024/11 ,"433"
Maranhao,2024/11 ,"959"
Paraiba,2024/11 ,"957"
Pernambuco,2024/11 ,"1191"
Piaui,2024/11 ,"873"
Rio Grande Do Norte,2024/11 ,"1276"
Sergipe,2024/11 ,"87"
Acre,2024/11 ,"116"
Amapa,2024/11 ,"359"
Amazonas,2024/11 ,"332"
Para,2024/11 ,"1164"
Rondonia,2024/11 ,"461"
Roraima,2024/11 ,"18"
Tocantins,2024/11 ,"234"
Espirito Santo,2024/11 ,"11689"
Minas Gerais,2024/11 ,"128150"
Rio De Janeiro,2024/11 ,"22524"
Sao Paulo,2024/11 ,"98654"
Parana,2024/11 ,"38080"
Rio Grande Do Sul,2024/11 ,"12045"
Santa Catarina,2024/11 ,17812
Distrito Federal,2024/12 ,"15291"
Goias,2024/12 ,"17810"
Mato Grosso,2024/12 ,"1633"
Mato Grosso Do Sul,2024/12 ,"1183"
Alagoas,2024/12 ,"552"
Bahia,2024/12 ,"18612"
Ceara,2024/12 ,"459"
Maranhao,2024/12 ,"1098"
Paraiba,2024/12 ,"1006"
Pernambuco,2024/12 ,"1196"
Piaui,2024/12 ,"788"
Rio Grande Do Norte,2024/12 ,"1141"
Sergipe,2024/12 ,"66"
Acre,2024/12 ,"74"
Amapa,2024/12 ,"340"
Amazonas,2024/12 ,"234"
Para,2024/12 ,"1122"
Rondonia,2024/12 ,"355"
Roraima,2024/12 ,"9"
Tocantins,2024/12 ,"265"
Espirito Santo,2024/12 ,"10721"
Minas Gerais,2024/12 ,"130964"
Rio De Janeiro,2024/12 ,"18475"
Sao Paulo,2024/12 ,"129646"
Parana,2024/12 ,"43672"
Rio Grande Do Sul,2024/12 ,"14367"
Santa Catarina,2024/12 ,24642
Distrito Federal,2024/13 ,"10206"
Goias,2024/13 ,"14491"
Mato Grosso,2024/13 ,"1329"
Mato Grosso Do Sul,2024/13 ,"1007"
Alagoas,2024/13 ,"433"
Bahia,2024/13 ,"16980"
Ceara,2024/13 ,"474"
Maranhao,2024/13 ,"768"
Paraiba,2024/13 ,"686"
Pernambuco,2024/13 ,"903"
Piaui,2024/13 ,"635"
Rio Grande Do Norte,2024/13 ,"877"
Sergipe,2024/13 ,"69"
Acre,2024/13 ,"92"
Amapa,2024/13 ,"365"
Amazonas,2024/13 ,"149"
Para,2024/13 ,"945"
Rondonia,2024/13 ,"159"
Roraima,2024/13 ,"6"
Tocantins,2024/13 ,"230"
Espirito Santo,2024/13 ,"8309"
Minas Gerais,2024/13 ,"99486"
Rio De Janeiro,2024/13 ,"12641"
Sao Paulo,2024/13 ,"122536"
Parana,2024/13 ,"42292"
Rio Grande Do Sul,2024/13 ,"15562"
Santa Catarina,2024/13 ,25716
Distrito Federal,2024/14 ,"10447"
Goias,2024/14 ,"17710"
Mato Grosso,2024/14 ,"1856"
Mato Grosso Do Sul,2024/14 ,"1073"
Alagoas,2024/14 ,"478"
Bahia,2024/14 ,"19549"
Ceara,2024/14 ,"752"
Maranhao,2024/14 ,"864"
Paraiba,2024/14 ,"819"
Pernambuco,2024/14 ,"1205"
Piaui,2024/14 ,"823"
Rio Grande Do Norte,2024/14 ,"994"
Sergipe,2024/14 ,"103"
Acre,2024/14 ,"78"
Amapa,2024/14 ,"410"
Amazonas,2024/14 ,"214"
Para,2024/14 ,"1069"
Rondonia,2024/14 ,"205"
Roraima,2024/14 ,"12"
Tocantins,2024/14 ,"241"
Espirito Santo,2024/14 ,"8590"
Minas Gerais,2024/14 ,"102507"
Rio De Janeiro,2024/14 ,"14846"
Sao Paulo,2024/14 ,"138549"
Parana,2024/14 ,"46102"
Rio Grande Do Sul,2024/14 ,"18724"
Santa Catarina,2024/14 ,28224
Distrito Federal,2024/15 ,"9485"
Goias,2024/15 ,"18162"
Mato Grosso,2024/15 ,"1825"
Mato Grosso Do Sul,2024/15 ,"1158"
Alagoas,2024/15 ,"567"
Bahia,2024/15 ,"17721"
Ceara,2024/15 ,"845"
Maranhao,2024/15 ,"800"
Paraiba,2024/15 ,"715"
Pernambuco,2024/15 ,"1053"
Piaui,2024/15 ,"748"
Rio Grande Do Norte,2024/15 ,"889"
Sergipe,2024/15 ,"73"
Acre,2024/15 ,"80"
Amapa,2024/15 ,"320"
Amazonas,2024/15 ,"166"
Para,2024/15 ,"877"
Rondonia,2024/15 ,"135"
Roraima,2024/15 ,"6"
Tocantins,2024/15 ,"297"
Espirito Santo,2024/15 ,"7228"
Minas Gerais,2024/15 ,"93993"
Rio De Janeiro,2024/15 ,"12493"
Sao Paulo,2024/15 ,"153934"
Parana,2024/15 ,"45053"
Rio Grande Do Sul,2024/15 ,"21120"
Santa Catarina,2024/15 ,30270
Distrito Federal,2024/16 ,"7331"
Goias,2024/16 ,"18201"
Mato Grosso,2024/16 ,"2056"
Mato Grosso Do Sul,2024/16 ,"948"
Alagoas,2024/16 ,"531"
Bahia,2024/16 ,"15739"
Ceara,2024/16 ,"777"
Maranhao,2024/16 ,"689"
Paraiba,2024/16 ,"649"
Pernambuco,2024/16 ,"1154"
Piaui,2024/16 ,"745"
Rio Grande Do Norte,2024/16 ,"781"
Sergipe,2024/16 ,"61"
Acre,2024/16 ,"94"
Amapa,2024/16 ,"305"
Amazonas,2024/16 ,"148"
Para,2024/16 ,"853"
Rondonia,2024/16 ,"154"
Roraima,2024/16 ,"14"
Tocantins,2024/16 ,"313"
Espirito Santo,2024/16 ,"6557"
Minas Gerais,2024/16 ,"73924"
Rio De Janeiro,2024/16 ,"10102"
Sao Paulo,2024/16 ,"146806"
Parana,2024/16 ,"44323"
Rio Grande Do Sul,2024/16 ,"21474"
Santa Catarina,2024/16 ,29614
Distrito Federal,2024/17 ,"5512"
Goias,2024/17 ,"16493"
Mato Grosso,2024/17 ,"2025"
Mato Grosso Do Sul,2024/17 ,"925"
Alagoas,2024/17 ,"509"
Bahia,2024/17 ,"12402"
Ceara,2024/17 ,"641"
Maranhao,2024/17 ,"470"
Paraiba,2024/17 ,"448"
Pernambuco,2024/17 ,"910"
Piaui,2024/17 ,"684"
Rio Grande Do Norte,2024/17 ,"627"
Sergipe,2024/17 ,"68"
Acre,2024/17 ,"72"
Amapa,2024/17 ,"209"
Amazonas,2024/17 ,"103"
Para,2024/17 ,"675"
Rondonia,2024/17 ,"129"
Roraima,2024/17 ,"10"
Tocantins,2024/17 ,"245"
Espirito Santo,2024/17 ,"5359"
Minas Gerais,2024/17 ,"58601"
Rio De Janeiro,2024/17 ,"8124"
Sao Paulo,2024/17 ,"140082"
Parana,2024/17 ,"34781"
Rio Grande Do Sul,2024/17 ,"18840"
Santa Catarina,2024/17 ,25324
Distrito Federal,2024/18 ,"4332"
Goias,2024/18 ,"15880"
Mato Grosso,2024/18 ,"2322"
Mato Grosso Do Sul,2024/18 ,"965"
Alagoas,2024/18 ,"537"
Bahia,2024/18 ,"10913"
Ceara,2024/18 ,"652"
Maranhao,2024/18 ,"404"
Paraiba,2024/18 ,"369"
Pernambuco,2024/18 ,"846"
Piaui,2024/18 ,"552"
Rio Grande Do Norte,2024/18 ,"496"
Sergipe,2024/18 ,"50"
Acre,2024/18 ,"62"
Amapa,2024/18 ,"200"
Amazonas,2024/18 ,"98"
Para,2024/18 ,"553"
Rondonia,2024/18 ,"77"
Roraima,2024/18 ,"9"
Tocantins,2024/18 ,"216"
Espirito Santo,2024/18 ,"4566"
Minas Gerais,2024/18 ,"53564"
Rio De Janeiro,2024/18 ,"7896"
Sao Paulo,2024/18 ,"145041"
Parana,2024/18 ,"37205"
Rio Grande Do Sul,2024/18 ,"15850"
Santa Catarina,2024/18 ,21981
Distrito Federal,2024/19 ,"3580"
Goias,2024/19 ,"14183"
Mato Grosso,2024/19 ,"2269"
Mato Grosso Do Sul,2024/19 ,"1034"
Alagoas,2024/19 ,"530"
Bahia,2024/19 ,"9667"
Ceara,2024/19 ,"511"
Maranhao,2024/19 ,"341"
Paraiba,2024/19 ,"384"
Pernambuco,2024/19 ,"785"
Piaui,2024/19 ,"598"
Rio Grande Do Norte,2024/19 ,"488"
Sergipe,2024/19 ,"49"
Acre,2024/19 ,"51"
Amapa,2024/19 ,"176"
Amazonas,2024/19 ,"90"
Para,2024/19 ,"530"
Rondonia,2024/19 ,"69"
Roraima,2024/19 ,"11"
Tocantins,2024/19 ,"184"
Espirito Santo,2024/19 ,"4656"
Minas Gerais,2024/19 ,"44405"
Rio De Janeiro,2024/19 ,"7198"
Sao Paulo,2024/19 ,"156246"
Parana,2024/19 ,"39567"
Rio Grande Do Sul,2024/19 ,"14218"
Santa Catarina,2024/19 ,23147
Distrito Federal,2024/20 ,"3126"
Goias,2024/20 ,"11539"
Mato Grosso,2024/20 ,"1805"
Mato Grosso Do Sul,2024/20 ,"872"
Alagoas,2024/20 ,"592"
Bahia,2024/20 ,"7493"
Ceara,2024/20 ,"447"
Maranhao,2024/20 ,"245"
Paraiba,2024/20 ,"360"
Pernambuco,2024/20 ,"768"
Piaui,2024/20 ,"667"
Rio Grande Do Norte,2024/20 ,"393"
Sergipe,2024/20 ,"47"
Acre,2024/20 ,"30"
Amapa,2024/20 ,"190"
Amazonas,2024/20 ,"73"
Para,2024/20 ,"434"
Rondonia,2024/20 ,"55"
Roraima,2024/20 ,"22"
Tocantins,2024/20 ,"186"
Espirito Santo,2024/20 ,"4067"
Minas Gerais,2024/20 ,"34325"
Rio De Janeiro,2024/20 ,"5813"
Sao Paulo,2024/20 ,"145856"
Parana,2024/20 ,"33185"
Rio Grande Do Sul,2024/20 ,"14458"
Santa Catarina,2024/20 ,20156
Distrito Federal,2024/21 ,"2758"
Goias,2024/21 ,"9013"
Mato Grosso,2024/21 ,"1419"
Mato Grosso Do Sul,2024/21 ,"499"
Alagoas,2024/21 ,"541"
Bahia,2024/21 ,"5749"
Ceara,2024/21 ,"402"
Maranhao,2024/21 ,"222"
Paraiba,2024/21 ,"300"
Pernambuco,2024/21 ,"768"
Piaui,2024/21 ,"620"
Rio Grande Do Norte,2024/21 ,"336"
Sergipe,2024/21 ,"45"
Acre,2024/21 ,"34"
Amapa,2024/21 ,"158"
Amazonas,2024/21 ,"79"
Para,2024/21 ,"351"
Rondonia,2024/21 ,"31"
Roraima,2024/21 ,"35"
Tocantins,2024/21 ,"147"
Espirito Santo,2024/21 ,"3238"
Minas Gerais,2024/21 ,"25889"
Rio De Janeiro,2024/21 ,"4957"
Sao Paulo,2024/21 ,"108817"
Parana,2024/21 ,"21151"
Rio Grande Do Sul,2024/21 ,"4223"
Santa Catarina,2024/21 ,9966
Distrito Federal,2024/22 ,"1955"
Goias,2024/22 ,"6214"
Mato Grosso,2024/22 ,"814"
Mato Grosso Do Sul,2024/22 ,"276"
Alagoas,2024/22 ,"554"
Bahia,2024/22 ,"3824"
Ceara,2024/22 ,"342"
Maranhao,2024/22 ,"142"
Paraiba,2024/22 ,"223"
Pernambuco,2024/22 ,"825"
Piaui,2024/22 ,"496"
Rio Grande Do Norte,2024/22 ,"257"
Sergipe,2024/22 ,"52"
Acre,2024/22 ,"38"
Amapa,2024/22 ,"165"
Amazonas,2024/22 ,"59"
Para,2024/22 ,"271"
Rondonia,2024/22 ,"27"
Roraima,2024/22 ,"33"
Tocantins,2024/22 ,"119"
Espirito Santo,2024/22 ,"2179"
Minas Gerais,2024/22 ,"15098"
Rio De Janeiro,2024/22 ,"2914"
Sao Paulo,2024/22 ,"68882"
Parana,2024/22 ,"12256"
Rio Grande Do Sul,2024/22 ,"3643"
Santa Catarina,2024/22 ,6198
Distrito Federal,2024/23 ,"1339"
Goias,2024/23 ,"5237"
Mato Grosso,2024/23 ,"984"
Mato Grosso Do Sul,2024/23 ,"235"
Alagoas,2024/23 ,"590"
Bahia,2024/23 ,"2931"
Ceara,2024/23 ,"356"
Maranhao,2024/23 ,"113"
Paraiba,2024/23 ,"242"
Pernambuco,2024/23 ,"866"
Piaui,2024/23 ,"532"
Rio Grande Do Norte,2024/23 ,"233"
Sergipe,2024/23 ,"69"
Acre,2024/23 ,"21"
Amapa,2024/23 ,"203"
Amazonas,2024/23 ,"56"
Para,2024/23 ,"337"
Rondonia,2024/23 ,"32"
Roraima,2024/23 ,"37"
Tocantins,2024/23 ,"70"
Espirito Santo,2024/23 ,"1722"
Minas Gerais,2024/23 ,"10355"
Rio De Janeiro,2024/23 ,"2590"
Sao Paulo,2024/23 ,"44498"
Parana,2024/23 ,"7645"
Rio Grande Do Sul,2024/23 ,"2215"
Santa Catarina,2024/23 ,4454
Distrito Federal,2024/24 ,"851"
Goias,2024/24 ,"4414"
Mato Grosso,2024/24 ,"847"
Mato Grosso Do Sul,2024/24 ,"326"
Alagoas,2024/24 ,"715"
Bahia,2024/24 ,"2227"
Ceara,2024/24 ,"372"
Maranhao,2024/24 ,"104"
Paraiba,2024/24 ,"257"
Pernambuco,2024/24 ,"789"
Piaui,2024/24 ,"436"
Rio Grande Do Norte,2024/24 ,"224"
Sergipe,2024/24 ,"65"
Acre,2024/24 ,"22"
Amapa,2024/24 ,"200"
Amazonas,2024/24 ,"48"
Para,2024/24 ,"338"
Rondonia,2024/24 ,"33"
Roraima,2024/24 ,"46"
Tocantins,2024/24 ,"59"
Espirito Santo,2024/24 ,"1954"
Minas Gerais,2024/24 ,"7541"
Rio De Janeiro,2024/24 ,"2109"
Sao Paulo,2024/24 ,"40944"
Parana,2024/24 ,"8227"
Rio Grande Do Sul,2024/24 ,"2786"
Santa Catarina,2024/24 ,4266
Distrito Federal,2024/25 ,"567"
Goias,2024/25 ,"3268"
Mato Grosso,2024/25 ,"833"
Mato Grosso Do Sul,2024/25 ,"242"
Alagoas,2024/25 ,"719"
Bahia,2024/25 ,"1561"
Ceara,2024/25 ,"297"
Maranhao,2024/25 ,"108"
Paraiba,2024/25 ,"183"
Pernambuco,2024/25 ,"647"
Piaui,2024/25 ,"320"
Rio Grande Do Norte,2024/25 ,"219"
Sergipe,2024/25 ,"42"
Acre,2024/25 ,"20"
Amapa,2024/25 ,"206"
Amazonas,2024/25 ,"43"
Para,2024/25 ,"288"
Rondonia,2024/25 ,"34"
Roraima,2024/25 ,"31"
Tocantins,2024/25 ,"51"
Espirito Santo,2024/25 ,"1694"
Minas Gerais,2024/25 ,"5293"
Rio De Janeiro,2024/25 ,"1726"
Sao Paulo,2024/25 ,"33240"
Parana,2024/25 ,"6698"
Rio Grande Do Sul,2024/25 ,"2796"
Santa Catarina,2024/25 ,3461
Distrito Federal,2024/26 ,"286"
Goias,2024/26 ,"2531"
Mato Grosso,2024/26 ,"574"
Mato Grosso Do Sul,2024/26 ,"139"
Alagoas,2024/26 ,"596"
Bahia,2024/26 ,"1363"
Ceara,2024/26 ,"239"
Maranhao,2024/26 ,"67"
Paraiba,2024/26 ,"193"
Pernambuco,2024/26 ,"685"
Piaui,2024/26 ,"204"
Rio Grande Do Norte,2024/26 ,"279"
Sergipe,2024/26 ,"40"
Acre,2024/26 ,"23"
Amapa,2024/26 ,"186"
Amazonas,2024/26 ,"61"
Para,2024/26 ,"272"
Rondonia,2024/26 ,"25"
Roraima,2024/26 ,"29"
Tocantins,2024/26 ,"39"
Espirito Santo,2024/26 ,"1440"
Minas Gerais,2024/26 ,"3739"
Rio De Janeiro,2024/26 ,"1414"
Sao Paulo,2024/26 ,"22412"
Parana,2024/26 ,"4213"
Rio Grande Do Sul,2024/26 ,"1646"
Santa Catarina,2024/26 ,2129
Distrito Federal,2024/27 ,"328"
Goias,2024/27 ,"2324"
Mato Grosso,2024/27 ,"578"
Mato Grosso Do Sul,2024/27 ,"83"
Alagoas,2024/27 ,"728"
Bahia,2024/27 ,"1262"
Ceara,2024/27 ,"282"
Maranhao,2024/27 ,"52"
Paraiba,2024/27 ,"235"
Pernambuco,2024/27 ,"784"
Piaui,2024/27 ,"201"
Rio Grande Do Norte,2024/27 ,"310"
Sergipe,2024/27 ,"38"
Acre,2024/27 ,"23"
Amapa,2024/27 ,"290"
Amazonas,2024/27 ,"71"
Para,2024/27 ,"256"
Rondonia,2024/27 ,"28"
Roraima,2024/27 ,"23"
Tocantins,2024/27 ,"32"
Espirito Santo,2024/27 ,"1258"
Minas Gerais,2024/27 ,"2813"
Rio De Janeiro,2024/27 ,"1164"
Sao Paulo,2024/27 ,"14531"
Parana,2024/27 ,"2645"
Rio Grande Do Sul,2024/27 ,"824"
Santa Catarina,2024/27 ,1176
Distrito Federal,2024/28 ,"283"
Goias,2024/28 ,"1656"
Mato Grosso,2024/28 ,"388"
Mato Grosso Do Sul,2024/28 ,"46"
Alagoas,2024/28 ,"780"
Bahia,2024/28 ,"1116"
Ceara,2024/28 ,"230"
Maranhao,2024/28 ,"47"
Paraiba,2024/28 ,"188"
Pernambuco,2024/28 ,"582"
Piaui,2024/28 ,"187"
Rio Grande Do Norte,2024/28 ,"263"
Sergipe,2024/28 ,"49"
Acre,2024/28 ,"21"
Amapa,2024/28 ,"253"
Amazonas,2024/28 ,"65"
Para,2024/28 ,"238"
Rondonia,2024/28 ,"21"
Roraima,2024/28 ,"25"
Tocantins,2024/28 ,"12"
Espirito Santo,2024/28 ,"979"
Minas Gerais,2024/28 ,"1969"
Rio De Janeiro,2024/28 ,"848"
Sao Paulo,2024/28 ,"9876"
Parana,2024/28 ,"1312"
Rio Grande Do Sul,2024/28 ,"347"
Santa Catarina,2024/28 ,586
Distrito Federal,2024/29 ,"208"
Goias,2024/29 ,"1301"
Mato Grosso,2024/29 ,"261"
Mato Grosso Do Sul,2024/29 ,"37"
Alagoas,2024/29 ,"653"
Bahia,2024/29 ,"965"
Ceara,2024/29 ,"179"
Maranhao,2024/29 ,"29"
Paraiba,2024/29 ,"210"
Pernambuco,2024/29 ,"616"
Piaui,2024/29 ,"189"
Rio Grande Do Norte,2024/29 ,"269"
